"","pC","pD","pM","rep","stability","oscilations","resilience"
"C543",0.25,0.25,0.5,16,TRUE,TRUE,0.344825695966498
"C544",0.27,0.27,0.46,17,TRUE,TRUE,0.330281212247058
"C545",0.3,0.19,0.51,18,TRUE,TRUE,0.436295429967062
"C546",0.24,0.24,0.52,19,TRUE,TRUE,0.297833817921296
"C547",0.3,0.25,0.45,20,TRUE,TRUE,0.426445994027289
"C548",0.16,0.2,0.64,1,TRUE,TRUE,0.273482368740721
"C549",0.19,0.23,0.58,2,TRUE,TRUE,0.283290926208103
"C550",0.21,0.25,0.54,3,TRUE,TRUE,0.263769620235347
"C551",0.13,0.22,0.65,4,TRUE,TRUE,0.236009648618313
"C552",0.18,0.21,0.61,5,TRUE,TRUE,0.379621358111084
"C553",0.2,0.18,0.62,6,TRUE,TRUE,0.27751800483715
"C554",0.24,0.2,0.56,7,TRUE,TRUE,0.322349001588203
"C555",0.16,0.19,0.65,8,TRUE,TRUE,0.286094493649628
"C556",0.22,0.15,0.63,9,TRUE,TRUE,0.383892752190326
"C557",0.22,0.18,0.6,10,TRUE,TRUE,0.321354559261111
"C558",0.28,0.15,0.57,11,TRUE,TRUE,0.314031067335694
"C559",0.3,0.12,0.58,12,TRUE,TRUE,0.347583753024028
"C560",0.23,0.15,0.62,13,TRUE,TRUE,0.279208815375225
"C561",0.21,0.19,0.6,14,TRUE,TRUE,0.344080835561032
"C562",0.2,0.21,0.59,15,FALSE,TRUE,0.26203741200378
"C563",0.19,0.16,0.65,16,FALSE,TRUE,0.344089165884676
"C564",0.27,0.22,0.51,17,TRUE,TRUE,0.288480956828539
"C565",0.22,0.2,0.58,18,TRUE,TRUE,0.242625066194264
"C566",0.21,0.23,0.56,19,TRUE,TRUE,0.391804192594293
"C567",0.171717171717172,0.272727272727273,0.555555555555556,20,TRUE,TRUE,0.209170098064848
"C568",0.19,0.18,0.63,1,TRUE,TRUE,0.408395505586785
"C569",0.13,0.1,0.77,2,TRUE,TRUE,0.246045872190376
"C570",0.13,0.14,0.73,3,TRUE,TRUE,0.317104176285876
"C571",0.2,0.23,0.57,4,TRUE,TRUE,0.396661496898561
"C572",0.12,0.13,0.75,5,TRUE,TRUE,0.243509803622574
"C573",0.12,0.12,0.76,6,TRUE,TRUE,0.230011863687776
"C574",0.12,0.12,0.76,7,TRUE,TRUE,0.245668658739533
"C575",0.18,0.14,0.68,8,TRUE,TRUE,0.245627780406937
"C576",0.25,0.18,0.57,9,TRUE,TRUE,0.504892714859377
"C577",0.18,0.15,0.67,10,TRUE,TRUE,0.298172626947599
"C578",0.18,0.16,0.66,11,TRUE,TRUE,0.359226978841746
"C579",0.12,0.13,0.75,12,TRUE,TRUE,0.300163737196731
"C580",0.21,0.17,0.62,13,TRUE,TRUE,0.303392552582019
"C581",0.16,0.17,0.67,14,TRUE,TRUE,0.239007689621314
"C582",0.24,0.17,0.59,15,TRUE,TRUE,0.384864566641913
"C583",0.21,0.21,0.58,16,TRUE,TRUE,0.499077260068225
"C584",0.13,0.16,0.71,17,TRUE,TRUE,0.276986875462716
"C585",0.13,0.23,0.64,18,TRUE,TRUE,0.259973665169339
"C586",0.17,0.19,0.64,19,TRUE,TRUE,0.240551853858311
"C587",0.11,0.16,0.73,20,TRUE,TRUE,0.231977077917261
"C588",0.12,0.1,0.78,1,TRUE,TRUE,0.254094896825867
"C589",0.1,0.11,0.79,2,TRUE,TRUE,0.256675245648083
"C590",0.19,0.15,0.66,3,TRUE,TRUE,0.335985132436131
"C591",0.15,0.12,0.73,4,TRUE,TRUE,0.285810656050584
"C592",0.09,0.13,0.78,5,TRUE,TRUE,0.205770868708904
"C593",0.1,0.16,0.74,6,FALSE,TRUE,0.285422493807698
"C594",0.16,0.14,0.7,7,TRUE,TRUE,0.332234904539093
"C595",0.1,0.13,0.77,8,TRUE,TRUE,0.305325915474381
